old                                      new
02781efb7631c6a2cd1ea6a2d7fa12e339c40a83 13a560a6521ca0bbe02cf0819acea1e89283049e
07e8bb10d6bea0885f4e4c93f96327a549a31007 9222b518f803c0aaa05a547552a6a66a8afa8b00
0a80eb9b0215a7cd9c3ef5decd9e5944c9cbd8dc 808e9deef7155e34774e70a37db237e5268fe6dc
0f45cda8927d5606d1a8b9913ef127d7fba91be2 dc1534f898d446851401e34b8692fd4fe32751df
14069295a87cc50cd813833487dce0a24bbb130f 4d4ec62f3761f59d781537e2ad4232e0820f6b74
154e7fffa88eaaa27672724f3a2a9c4decc89126 4eecb29b8e256b484c9929b342db6a1740168f1f
1641e9a256d7a117766aa691c9c093b3d9a4c1a6 ec4c497af525eadba0e798ca67ad06042252ace7
18bccb12f8715846d10a3569036449f5a34cc463 72c308244eb0774e222c033aa66018fabea696bf
1ba98b28bf5e0725b3fa3dde3ee6c95ababfd3e8 c718796fcd62564b5fa981a8d2cc9d68e706b81f
1cf0308ef2551be2de610617ab19f070dd0f49d2 a588e7d6ecef9c002038b856194295708d4abcf1
1e40eb94361f47aadbf68e02aef134ab9b323062 8c103ecf57bfc6a7b0b881e9dc3ae01af681f02c
1fc07caac383d34fedb261beb71a7df77cf61d3e 94d8df32bca4a488ee59574a7dc56f931af074f3
216489e6ba134fed3280806fe51cb01c3a3e2818 0f0dd1031f6ffca5bc3fd820642dd1a0703f150d
242690826cbbf2a258ff45e2dd8e5e1d977fc323 ee21a1657cf8c77179c84c0346dd20527806f67f
24a6a18263398fc0f966062e77164ff3634e4b88 4990e657ffd69d3ec47f519b51875702e0bcc992
261a310a18331eddc987e0134b985891d07e6bf6 9861d86121e416c801e9491452ff36b873212a3e
26e5a98510e30c621e23f29e264ef3b483366ba1 4b19b15e28cad7c5d330c202727f8f97e88626ed
282128ee4824222423fcaa5a7e2b4d3fd46fec03 6c1f8d02148c2230e5dfae7075dff7d8a3b18a8d
28abe32ad3921259d233407d553456397c96850e 5e5b8369b4e83fbd0a3dfbdbe521b0422d242f01
2c08c5e92ba820b6a32a02c2476190933dc611ce 67eebe7bd095e9fc1800a85e056601d789bdafcf
2c7d938619c4b9d9f6cef8c7666e10771340ea4f 486fec2aaa4b6fd04dbd0dbb73a88868b0c9eedf
2d60521deee7bb97675b0d6f380182c2083978ca 864e6f2ea0f33c6a3f062adbf587c74c4cb83b7c
3174b82ea76e51f6699a2f5729fd2ce1d47b725a abaa552ee6892a1322dec2d98f9af0e8e3e92d0e
3313907fc36dea262bb901713052e2b22bb99b1f 6144f1888280281ba3bcbf9720448f8672453ac6
36630cf0b63bfae354bb546bfe9e76b46837913b 4b4ac7799ee15b107eb904e7687fd9771cc6d3f7
38df6a6daefc1e329a79b323c74457662208d870 11c54ca96db9bb1544bc7768aa61c9037ea0b62f
3e991a1cd37145b6d337ed82228c09e7b70ce428 9a652db5df0deb7a88c714b9e20f68a520866ceb
41908e41c654f3f737d35c60d0cd7ceb54fae418 bd78c0ae9f5ef3b5d6f8c5b1cd9ec1ff394504f0
41d0e6bdd69caa3ff00d02283ff221a0331d2f74 a638dfd8a051200d6bf8e3f7c06ad98edcf9b159
41e33507d4721e29dae331caf9e191d25f20a930 d3ede281470402b869feb4aaaa3569b50dec6e9a
426a375554b31e00b9ef6ad0a59be2b94a4a926d 2989a1be535dfebfa5fdc279817a2af6828ff38f
43a5218de18a5217262c72bd7298cdb2facdb062 efe45d83e1a47220e36d696db6e494eaabc9417b
497d2474a42b0adb5337807d7f4dbfd263bafa2e ba99b81d1cec11c3422a9e5de742dcb8ccef4225
4a072cfef80cba409b97f0bfa0fccc8a195e2d48 c754db19190ec28763482c6ca5c9be03b8c0cd69
59682c412e1b1b4fb7763b9547ffd653ff5743c7 18c3ce00fa9c498e6e1364b8f39b074b00ae5fd9
5f360f9032416442bae0c42145845762323b95c9 c4b2ea7267af475f71ab99ce9705de280ebf6996
66ee293966e2a9e8eb0bc5a0136002b6bb74ec29 ae25d117dc262d367044a27dd764b90066a93beb
689b3a39f6f8103d3e16b5f9b840307c5343a34b fa2523889d89764618c8bb5d6969ea69461d4ab0
695840cddc33b59228161b273d7e6059c2c7dcc7 d2deacb976ac3833e686df74857aa442a11dbd81
6a6c7ff4480208528599291468633ae9d84120cd 6ad4403730ba73330b98143fc674bac4da51b662
721df98ddeb10f12d6f1504bd5cbb1802465d393 2e313fe47d22b785d02631afd9b782910df03ec3
77a06686946c0f09648511d31324abf640049b6b 42d6a4256154b9616d910939b4299d74a1ae76f7
78089bbb2b4f3757a9feab8278f4e6a0e0fd35fe 9532214cd933c57af874e476cd18c321694f412e
7860e641fcceb9f494a335802ace642eacecbcb4 c76854b65be8e5c30d578a1ef3c34023ed6e0433
790c2f637033829abf12207315f14b8c23a10366 b95317d6b11501768a1e892e283c6c42bbbd25a3
79fe38ae2ae313407da9c24177bc8b6a2164878f d6d24111bcca2e3ac13afa014317732e108a6d81
7d5dad365ae6f9ec550dbe252f49139dbf874e45 68bcd95b41e79b40408e9dfdfb78c8ec908c32a3
7eb4a5038d1131b7fa110865448bdb6f3c467ecb e133aae47a7c7d617b4ee2ad6cdc18db0fed394d
86f19524b1e462bd1717380dc3066354650a3aec 7cdc960d881e915ec822371241b8acda38ad5d45
880d99ca2541e4fdf65c9b25e7c48fcc8fc8c60a a28ad4667ef6a4f03d5cabb678360f67c781aa0b
890d87e4b292a4b8445cc8a015139f89b50b9ad7 9caa3d4b345fb452d19e8ead281f6e220f606036
8ed1be165245ec176817a2d165ea47c6066fda9b 1f6262418e7ef413cde565f11a0111969a713185
9bfd186ae3ec787adc37442f5c59e37dc6cc71df d4f5db658e7de91f2657f1ab79641d5a5515ce3b
9c34d95d13102939187fa240dfd61a844a7b0f82 723a1a39cce060f1851a5617dddc3c43398f57eb
9f6ebaa2762cc9a6b6fbcea06a938f52dd12cd2e ee70f20032eb5414f83f2c93d3603b64e39f7f15
a461e7783a632e5db5c84d640ba5f3ba023b317d 2e0a86d37b00bb47526fb82c08dbbb6ce73bd9b6
a8307200291369f27ed4f4f18c266b9aea1ccb3f c9e7ee03b7cc860d27f326bf389709d2b2aa7628
a94a6a1b7e9dd61c1bf78c8f91476f2b0d429716 710f548e79e83771a8973617d2558c83b20f3922
aa6c875c0b533afdc8536f921f96252a44abfd28 b776fa6edca7ba934351dc60d8035d3e1848bdd6
